userName,score,at,content,polarity_score,sentiment,content_stopwords,content_stemmed,cleaned_tokenized_stemmed,cleaned_sentence
Aris,4,7/31/2024 5:12,histori di pengaturan sudah di hapus semua namun di beranda penelusuran histori nyah masih adatidak bisa ke hapus,-10,NEGATIVE,histori pengaturan hapus semua beranda penelusuran histori nyah adatidak hapus,histori atur hapus semua beranda telusur histori nyah adatidak hapus,"['histori', 'atur', 'hapus', 'semua', 'beranda', 'telusur', 'histori', 'nyah', 'adatidak', 'hapus']",histori atur hapus semua beranda telusur histori nyah adatidak hapus
Irvanmuhammad muchtar,5,7/31/2024 1:27,google maps aplikasi navigasi yang luar biasa fitur pencarian lokasi yang akurat danmembuat perjalanan menjadi lebih mudah danefisien juga sangat menghargai fitur lalu lintas realtime yang membantu saya menghindari kemacetan,-16,NEGATIVE,google maps aplikasi navigasi luar biasa fitur pencarian lokasi akurat danmembuat perjalanan menjadi lebih mudah danefisien sangat menghargai fitur lalu lintas realtime membantu menghindari kemacetan,google maps aplikasi navigasi luar biasa fitur cari lokasi akurat danmembuat jalan jadi lebih mudah danefisien sangat harga fitur lalu lintas realtime bantu hindar macet,"['google', 'maps', 'aplikasi', 'navigasi', 'luar', 'biasa', 'fitur', 'cari', 'lokasi', 'akurat', 'danmembuat', 'jalan', 'jadi', 'lebih', 'mudah', 'danefisien', 'sangat', 'harga', 'fitur', 'lalu', 'lintas', 'realtime', 'bantu', 'hindar', 'macet']",google maps aplikasi navigasi luar biasa fitur cari lokasi akurat danmembuat jalan jadi lebih mudah danefisien sangat harga fitur lalu lintas realtime bantu hindar macet
Yoga Anugrahta,5,7/31/2024 0:12,sangat membantu saat perjalanan jauh mantap gmaps,-1,NEGATIVE,sangat membantu perjalanan jauh mantap gmaps,sangat bantu jalan jauh mantap gmaps,"['sangat', 'bantu', 'jalan', 'jauh', 'mantap', 'gmaps']",sangat bantu jalan jauh mantap gmaps
Dede Feredy,1,7/31/2024 0:10,lokasi tidak update rute perjalanan yang d lalui sering tidak muncul sudah berada d suatu lokasi tidak update,-16,NEGATIVE,lokasi update rute perjalanan d lalui sering muncul berada d suatu lokasi update,lokasi update rute jalan d lalu sering muncul ada d suatu lokasi update,"['lokasi', 'update', 'rute', 'jalan', 'd', 'lalu', 'sering', 'muncul', 'ada', 'd', 'suatu', 'lokasi', 'update']",lokasi update rute jalan d lalu sering muncul ada d suatu lokasi update
Nk cell,1,7/30/2024 22:17,versi terbaru navigasi tidak akurat tanda panah tidak berjalan,-8,NEGATIVE,versi terbaru navigasi akurat tanda panah berjalan,versi baru navigasi akurat tanda panah jalan,"['versi', 'baru', 'navigasi', 'akurat', 'tanda', 'panah', 'jalan']",versi baru navigasi akurat tanda panah jalan
Yanto/ /otnaY,5,7/30/2024 21:52,tolong masukan jenis kendaraan termasuk truk roda  danseterusnya karena sering mobil besar mengikuti maps ternyata jalan kecil terimakasih,2,POSITIVE,masukan jenis kendaraan termasuk truk roda danseterusnya sering mobil besar mengikuti maps ternyata jalan kecil terimakasih,masuk jenis kendara masuk truk roda danseterusnya sering mobil besar ikut maps nyata jalan kecil terimakasih,"['masuk', 'jenis', 'kendara', 'masuk', 'truk', 'roda', 'danseterusnya', 'sering', 'mobil', 'besar', 'ikut', 'maps', 'nyata', 'jalan', 'kecil', 'terimakasih']",masuk jenis kendara masuk truk roda danseterusnya sering mobil besar ikut maps nyata jalan kecil terimakasih
Abi Faiziy,5,7/30/2024 21:39,sangat efektif dansimple untukmenelusuri lalu lintas danalamat tujuan lebih baik lagi jika tidak menekan tombol mulai sehingga ketauan kalau kita keluar dari rute awal yang diarahkan,-19,NEGATIVE,sangat efektif dansimple untukmenelusuri lalu lintas danalamat tujuan lebih baik menekan tombol mulai ketauan kalau keluar rute awal diarahkan,sangat efektif dansimple untukmenelusuri lalu lintas danalamat tuju lebih baik tekan tombol mulai tau kalau keluar rute awal arah,"['sangat', 'efektif', 'dansimple', 'untukmenelusuri', 'lalu', 'lintas', 'danalamat', 'tuju', 'lebih', 'baik', 'tekan', 'tombol', 'mulai', 'tau', 'kalau', 'keluar', 'rute', 'awal', 'arah']",sangat efektif dansimple untukmenelusuri lalu lintas danalamat tuju lebih baik tekan tombol mulai tau kalau keluar rute awal arah
Juvaweh (Juan Valdy Wehantouw),2,7/30/2024 20:26,saya mau ke daerah greenlake cityjakarta barat dari arah jasinga bogor alamat yang dituju sudahbenar estimasi tiba uda bener waktu tempuh jammenit giliran motor sudahjalan malah penunjuk arah maps tidak jalan sama sekali maps stuck ditempat alhasil saya nyasar yang tadinya cuma jaman berubah jadi jaman nyari sendiri jalan menuju tujuan pake cara kuno baca plan arah jalan dansaya nulis ulasan ini maps saya juga masih error ini hari kelima setelah kejadian itu mohon keadilan,-51,NEGATIVE,mau daerah greenlake cityjakarta barat arah jasinga bogor alamat dituju sudahbenar estimasi tiba uda bener waktu tempuh jammenit giliran motor sudahjalan malah penunjuk arah maps jalan sama sekali maps stuck ditempat alhasil nyasar tadinya cuma jaman berubah jadi jaman nyari sendiri jalan menuju tujuan pake cara kuno baca plan arah jalan dansaya nulis ulasan maps error hari kelima kejadian mohon keadilan,mau daerah greenlake cityjakarta barat arah jasinga bogor alamat tuju sudahbenar estimasi tiba uda bener waktu tempuh jammenit gilir motor sudahjalan malah tunjuk arah maps jalan sama sekali maps stuck tempat alhasil nyasar tadi cuma jaman ubah jadi jaman nyari sendiri jalan tuju tuju pake cara kuno baca plan arah jalan dansaya nulis ulas maps error hari lima jadi mohon adil,"['mau', 'daerah', 'greenlake', 'cityjakarta', 'barat', 'arah', 'jasinga', 'bogor', 'alamat', 'tuju', 'sudahbenar', 'estimasi', 'tiba', 'uda', 'bener', 'waktu', 'tempuh', 'jammenit', 'gilir', 'motor', 'sudahjalan', 'malah', 'tunjuk', 'arah', 'maps', 'jalan', 'sama', 'sekali', 'maps', 'stuck', 'tempat', 'alhasil', 'nyasar', 'tadi', 'cuma', 'jaman', 'ubah', 'jadi', 'jaman', 'nyari', 'sendiri', 'jalan', 'tuju', 'tuju', 'pake', 'cara', 'kuno', 'baca', 'plan', 'arah', 'jalan', 'dansaya', 'nulis', 'ulas', 'maps', 'error', 'hari', 'lima', 'jadi', 'mohon', 'adil']",mau daerah greenlake cityjakarta barat arah jasinga bogor alamat tuju sudahbenar estimasi tiba uda bener waktu tempuh jammenit gilir motor sudahjalan malah tunjuk arah maps jalan sama sekali maps stuck tempat alhasil nyasar tadi cuma jaman ubah jadi jaman nyari sendiri jalan tuju tuju pake cara kuno baca plan arah jalan dansaya nulis ulas maps error hari lima jadi mohon adil
nicky raditya,1,7/30/2024 19:46,di upadate malah semakin buruklinimasa tidak bisa di lihat lagi di hp lainsekarang kalau hp hilangya wassalamgak bakal bisa di lacak lagi di lokasi terakhirnyasemoga kembali seperti dulu,-8,NEGATIVE,upadate malah semakin buruklinimasa lihat hp lainsekarang kalau hp hilangya wassalamgak bakal lacak lokasi terakhirnyasemoga dulu,upadate malah makin buruklinimasa lihat hp lainsekarang kalau hp hilangya wassalamgak bakal lacak lokasi terakhirnyasemoga dulu,"['upadate', 'malah', 'makin', 'buruklinimasa', 'lihat', 'hp', 'lainsekarang', 'kalau', 'hp', 'hilangya', 'wassalamgak', 'bakal', 'lacak', 'lokasi', 'terakhirnyasemoga', 'dulu']",upadate malah makin buruklinimasa lihat hp lainsekarang kalau hp hilangya wassalamgak bakal lacak lokasi terakhirnyasemoga dulu
Joko Budi Mulyono,1,7/30/2024 18:29,tolong mapsnya di perbaiki lagi di hp mapsnya selalu eror maps gak akurat malah bagus versi yang lama mapsnya lancar jaya sekarang parahtolong dibpertahankan mapsnya biar seperti dlusemakin kesini maps parahterimakasih,-10,NEGATIVE,mapsnya perbaiki hp mapsnya selalu eror maps gak akurat malah bagus versi lama mapsnya lancar jaya sekarang parahtolong dibpertahankan mapsnya biar dlusemakin kesini maps parahterimakasih,mapsnya baik hp mapsnya selalu eror maps gak akurat malah bagus versi lama mapsnya lancar jaya sekarang parahtolong dibpertahankan mapsnya biar dlusemakin kesini maps parahterimakasih,"['mapsnya', 'baik', 'hp', 'mapsnya', 'selalu', 'eror', 'maps', 'gak', 'akurat', 'malah', 'bagus', 'versi', 'lama', 'mapsnya', 'lancar', 'jaya', 'sekarang', 'parahtolong', 'dibpertahankan', 'mapsnya', 'biar', 'dlusemakin', 'kesini', 'maps', 'parahterimakasih']",mapsnya baik hp mapsnya selalu eror maps gak akurat malah bagus versi lama mapsnya lancar jaya sekarang parahtolong dibpertahankan mapsnya biar dlusemakin kesini maps parahterimakasih
Bang Iful,1,7/30/2024 16:45,buruk rute motor tidak adadi instal ulang pun malah semakin ngaco setelan kendaraan cuma adakendaraan listrik semakin edan,-17,NEGATIVE,buruk rute motor adadi instal ulang malah semakin ngaco setelan kendaraan cuma adakendaraan listrik semakin edan,buruk rute motor adad instal ulang malah makin ngaco setel kendara cuma adakendaraan listrik makin edan,"['buruk', 'rute', 'motor', 'adad', 'instal', 'ulang', 'malah', 'makin', 'ngaco', 'setel', 'kendara', 'cuma', 'adakendaraan', 'listrik', 'makin', 'edan']",buruk rute motor adad instal ulang malah makin ngaco setel kendara cuma adakendaraan listrik makin edan
fajar ferdianto,2,7/30/2024 14:56,lw turunin laaahkm tidak jalan tersendat batre cukup koneksi stabil tolong hilangkan bug nyasudah di install ulang tetap demikian tolong di perbaiki lagi,-3,NEGATIVE,lw turunin laaahkm jalan tersendat batre cukup koneksi stabil hilangkan bug nyasudah install ulang tetap perbaiki,lw turunin laaahkm jalan sendat batre cukup koneksi stabil hilang bug nyasudah install ulang tetap baik,"['lw', 'turunin', 'laaahkm', 'jalan', 'sendat', 'batre', 'cukup', 'koneksi', 'stabil', 'hilang', 'bug', 'nyasudah', 'install', 'ulang', 'tetap', 'baik']",lw turunin laaahkm jalan sendat batre cukup koneksi stabil hilang bug nyasudah install ulang tetap baik
Siti Hasanah,3,7/30/2024 14:26,semenjak diperbarui maps nya jadi tidak jelas bikin pusing driver mending maps nya yang dulu sekarang jelek parah,-28,NEGATIVE,semenjak diperbarui maps nya jadi jelas bikin pusing driver mending maps nya dulu sekarang jelek parah,semenjak baru maps nya jadi jelas bikin pusing driver mending maps nya dulu sekarang jelek parah,"['semenjak', 'baru', 'maps', 'nya', 'jadi', 'jelas', 'bikin', 'pusing', 'driver', 'mending', 'maps', 'nya', 'dulu', 'sekarang', 'jelek', 'parah']",semenjak baru maps nya jadi jelas bikin pusing driver mending maps nya dulu sekarang jelek parah
Muhamad Iqbal,5,7/30/2024 13:24,membantu untukmenemukan sebuah tempat danmenjadi lebih cepat sampai ketujuan,-4,NEGATIVE,membantu untukmenemukan sebuah tempat danmenjadi lebih cepat ketujuan,bantu untukmenemukan buah tempat danmenjadi lebih cepat tuju,"['bantu', 'untukmenemukan', 'buah', 'tempat', 'danmenjadi', 'lebih', 'cepat', 'tuju']",bantu untukmenemukan buah tempat danmenjadi lebih cepat tuju
Alliya Ferjihan,5,7/30/2024 12:56,semoga semakin akurat dalan menentukan rute yang akan dituju danmohon untukupdate navigasi atau rute jika jalanan sedang ditutup,-11,NEGATIVE,semoga semakin akurat dalan menentukan rute dituju danmohon untukupdate navigasi rute jalanan sedang ditutup,moga makin akurat dal tentu rute tuju danmohon untukupdate navigasi rute jalan sedang tutup,"['moga', 'makin', 'akurat', 'dal', 'tentu', 'rute', 'tuju', 'danmohon', 'untukupdate', 'navigasi', 'rute', 'jalan', 'sedang', 'tutup']",moga makin akurat dal tentu rute tuju danmohon untukupdate navigasi rute jalan sedang tutup
Carles MVC,1,7/30/2024 12:45,sering error lebih bagus versi lama sebagai driver online perlu maps yang akurat,-9,NEGATIVE,sering error lebih bagus versi lama driver online perlu maps akurat,sering error lebih bagus versi lama driver online perlu maps akurat,"['sering', 'error', 'lebih', 'bagus', 'versi', 'lama', 'driver', 'online', 'perlu', 'maps', 'akurat']",sering error lebih bagus versi lama driver online perlu maps akurat
Yohanes Nuwa,2,7/30/2024 11:43,anjink kalau tempatnya sudahtutup di maps harusnya di perbarui bukan tetap di post buka tapi ketika sudahsampe malah sudahbangkrut,-1,NEGATIVE,anjink kalau tempatnya sudahtutup maps harusnya perbarui bukan tetap post buka sudahsampe malah sudahbangkrut,anjink kalau tempat sudahtutup maps harus baru bukan tetap post buka sudahsampe malah sudahbangkrut,"['anjink', 'kalau', 'tempat', 'sudahtutup', 'maps', 'harus', 'baru', 'bukan', 'tetap', 'post', 'buka', 'sudahsampe', 'malah', 'sudahbangkrut']",anjink kalau tempat sudahtutup maps harus baru bukan tetap post buka sudahsampe malah sudahbangkrut
Ini Ono,4,7/30/2024 8:24,hi gmaps untuknavigasinya kenapa mengarah kebagian bawah dari tampilan hp yang enak kan ke atas hp potrait harus d putar dua jari untukmenavigasi bikin pusing tau,-32,NEGATIVE,hi gmaps untuknavigasinya mengarah kebagian bawah tampilan hp enak kan atas hp potrait d putar jari untukmenavigasi bikin pusing tau,hi gmaps untuknavigasinya arah bagi bawah tampil hp enak kan atas hp potrait d putar jari untukmenavigasi bikin pusing tau,"['hi', 'gmaps', 'untuknavigasinya', 'arah', 'bagi', 'bawah', 'tampil', 'hp', 'enak', 'kan', 'atas', 'hp', 'potrait', 'd', 'putar', 'jari', 'untukmenavigasi', 'bikin', 'pusing', 'tau']",hi gmaps untuknavigasinya arah bagi bawah tampil hp enak kan atas hp potrait d putar jari untukmenavigasi bikin pusing tau
Andi Budiman,1,7/30/2024 0:27,hasil versi terbaru semakin ngaco titik tidak akurat yang seharusnya biru jadk abu mengecewakan,-6,NEGATIVE,hasil versi terbaru semakin ngaco titik akurat biru jadk abu mengecewakan,hasil versi baru makin ngaco titik akurat biru jadk abu kecewa,"['hasil', 'versi', 'baru', 'makin', 'ngaco', 'titik', 'akurat', 'biru', 'jadk', 'abu', 'kecewa']",hasil versi baru makin ngaco titik akurat biru jadk abu kecewa
Ompy Nuban,1,7/29/2024 22:26,lambat danterkadang menyesatkan tidak susai titik dantidak dapat menunjukan jalan yang terdekat,-11,NEGATIVE,lambat danterkadang menyesatkan susai titik dantidak menunjukan jalan terdekat,lambat danterkadang sesat susai titik dantidak tunjuk jalan dekat,"['lambat', 'danterkadang', 'sesat', 'susai', 'titik', 'dantidak', 'tunjuk', 'jalan', 'dekat']",lambat danterkadang sesat susai titik dantidak tunjuk jalan dekat
Sigid Maryanto,5,7/29/2024 22:19,sangat membantu penunjuk arah sangat detail dengan lokasi puas sekali,-3,NEGATIVE,sangat membantu penunjuk arah sangat detail lokasi puas sekali,sangat bantu tunjuk arah sangat detail lokasi puas sekali,"['sangat', 'bantu', 'tunjuk', 'arah', 'sangat', 'detail', 'lokasi', 'puas', 'sekali']",sangat bantu tunjuk arah sangat detail lokasi puas sekali
Samsung Glx123,1,7/29/2024 21:36,coco untukdi bagian kota saja kalau sudahmasuk ke bagian perdesaan tidak bisa di gunakan,-18,NEGATIVE,coco untukdi bagian kota kalau sudahmasuk bagian perdesaan gunakan,coco untukdi bagi kota kalau sudahmasuk bagi desa guna,"['coco', 'untukdi', 'bagi', 'kota', 'kalau', 'sudahmasuk', 'bagi', 'desa', 'guna']",coco untukdi bagi kota kalau sudahmasuk bagi desa guna
Arist Bareno,1,7/29/2024 21:23,di hp saya akurasi kompasnya rendah tolong di tingkatkan supaya akurasi kompasnya tinggi,-9,NEGATIVE,hp akurasi kompasnya rendah tingkatkan akurasi kompasnya tinggi,hp akurasi kompas rendah tingkat akurasi kompas tinggi,"['hp', 'akurasi', 'kompas', 'rendah', 'tingkat', 'akurasi', 'kompas', 'tinggi']",hp akurasi kompas rendah tingkat akurasi kompas tinggi
yosua sullivan,1,7/29/2024 21:10,error terus maps nya padahal sudah di update,-4,NEGATIVE,error terus maps nya padahal update,error terus maps nya padahal update,"['error', 'terus', 'maps', 'nya', 'padahal', 'update']",error terus maps nya padahal update
Fitri Prayoga,1,7/29/2024 20:22,sekarang aplikasinya tidak bisa melacak lokasi tidak akurat setelah diperbarui lebih baik maps yang lama,-16,NEGATIVE,sekarang aplikasinya melacak lokasi akurat diperbarui lebih baik maps lama,sekarang aplikasi lacak lokasi akurat baru lebih baik maps lama,"['sekarang', 'aplikasi', 'lacak', 'lokasi', 'akurat', 'baru', 'lebih', 'baik', 'maps', 'lama']",sekarang aplikasi lacak lokasi akurat baru lebih baik maps lama
Reza Rubail,1,7/29/2024 18:53,aneh tidak bisa gerak tidak jalan saya jauh jauh jalan eh pas liat maps mengapa titik saya masih di situ tolong lah perbaiki,-22,NEGATIVE,aneh gerak jalan jauh jauh jalan eh pas liat maps titik situ lah perbaiki,aneh gerak jalan jauh jauh jalan eh pas liat maps titik situ lah baik,"['aneh', 'gerak', 'jalan', 'jauh', 'jauh', 'jalan', 'eh', 'pas', 'liat', 'maps', 'titik', 'situ', 'lah', 'baik']",aneh gerak jalan jauh jauh jalan eh pas liat maps titik situ lah baik
Indra Lesmana01,5,7/29/2024 18:49,tolong dong di perbaiki agar lebih tepat ke titik tujuan sangat sulit banget untukdrever kadang lemot juga,-7,NEGATIVE,dong perbaiki lebih tepat titik tujuan sangat sulit banget untukdrever kadang lemot,dong baik lebih tepat titik tuju sangat sulit banget untukdrever kadang lot,"['dong', 'baik', 'lebih', 'tepat', 'titik', 'tuju', 'sangat', 'sulit', 'banget', 'untukdrever', 'kadang', 'lot']",dong baik lebih tepat titik tuju sangat sulit banget untukdrever kadang lot
AlfianBibah Bibah,5,7/29/2024 17:11,terus membaik maps danakurat soala saya sangat membutuhkan petunjuk peta,-8,NEGATIVE,terus membaik maps danakurat soala sangat membutuhkan petunjuk peta,terus baik maps danakurat soala sangat butuh tunjuk peta,"['terus', 'baik', 'maps', 'danakurat', 'soala', 'sangat', 'butuh', 'tunjuk', 'peta']",terus baik maps danakurat soala sangat butuh tunjuk peta
Tri Wahyu,3,7/29/2024 15:42,kenapa sering terjadi tidak adanavigasi untuksepeda motor kemana perginya navigasi motor,1,POSITIVE,sering terjadi adanavigasi untuksepeda motor perginya navigasi motor,sering jadi adanavigasi untuksepeda motor pergi navigasi motor,"['sering', 'jadi', 'adanavigasi', 'untuksepeda', 'motor', 'pergi', 'navigasi', 'motor']",sering jadi adanavigasi untuksepeda motor pergi navigasi motor
ONE LOVE,5,7/29/2024 15:01,saran kalau bisa di sediakan fitur pengingat alarm saat mau melewati sebuah tempat dalam perjalanan misal saat jam pulang kantor mau ngambil barang di salah satu kantor expedisi jadi pas pulang walaupun kita lupa tetapi mau lewat lokasi tersebut alarm pengingatnya bunyi untukmengingatkan yang punya hp,7,POSITIVE,saran kalau sediakan fitur pengingat alarm mau melewati sebuah tempat perjalanan misal jam pulang kantor mau ngambil barang salah satu kantor expedisi jadi pas pulang walaupun lupa mau lewat lokasi tersebut alarm pengingatnya bunyi untukmengingatkan punya hp,saran kalau sedia fitur ingat alarm mau lewat buah tempat jalan misal jam pulang kantor mau ngambil barang salah satu kantor expedisi jadi pas pulang walaupun lupa mau lewat lokasi sebut alarm ingat bunyi untukmengingatkan punya hp,"['saran', 'kalau', 'sedia', 'fitur', 'ingat', 'alarm', 'mau', 'lewat', 'buah', 'tempat', 'jalan', 'misal', 'jam', 'pulang', 'kantor', 'mau', 'ngambil', 'barang', 'salah', 'satu', 'kantor', 'expedisi', 'jadi', 'pas', 'pulang', 'walaupun', 'lupa', 'mau', 'lewat', 'lokasi', 'sebut', 'alarm', 'ingat', 'bunyi', 'untukmengingatkan', 'punya', 'hp']",saran kalau sedia fitur ingat alarm mau lewat buah tempat jalan misal jam pulang kantor mau ngambil barang salah satu kantor expedisi jadi pas pulang walaupun lupa mau lewat lokasi sebut alarm ingat bunyi untukmengingatkan punya hp
Sudiaman Nainggolan,3,7/29/2024 14:24,seringkali alami gangguan route padahal saya sbgi driver gocar hampir  bulan tapi di hp customer bagus,-5,NEGATIVE,seringkali alami gangguan route padahal sbgi driver gocar hampir bulan hp customer bagus,seringkali alami ganggu route padahal sbgi driver gocar hampir bulan hp customer bagus,"['seringkali', 'alami', 'ganggu', 'route', 'padahal', 'sbgi', 'driver', 'gocar', 'hampir', 'bulan', 'hp', 'customer', 'bagus']",seringkali alami ganggu route padahal sbgi driver gocar hampir bulan hp customer bagus
Ribbi Novianti,5,7/29/2024 14:03,saya beri bintang  karena saya pas tersesat saya mencari di google maps ternyata saya salah jalan wow estetik sekali ya oke deh terima kasih atas perhatiannya kami ucapkan terima kasih,-6,NEGATIVE,beri bintang pas tersesat mencari google maps ternyata salah jalan wow estetik sekali oke deh terima kasih atas perhatiannya ucapkan terima kasih,beri bintang pas sesat cari google maps nyata salah jalan wow estetik sekali oke deh terima kasih atas perhati ucap terima kasih,"['beri', 'bintang', 'pas', 'sesat', 'cari', 'google', 'maps', 'nyata', 'salah', 'jalan', 'wow', 'estetik', 'sekali', 'oke', 'deh', 'terima', 'kasih', 'atas', 'perhati', 'ucap', 'terima', 'kasih']",beri bintang pas sesat cari google maps nyata salah jalan wow estetik sekali oke deh terima kasih atas perhati ucap terima kasih
Azwarwadi,5,7/29/2024 13:42,sayaaa telah terbantu dengan aplikasi ini dansaya juga bisa akses jalan untukbisa sampai ke tujuan danaplikasi ini sanagt bermanfaat bagi saya danjuga sangat bagus untukdi pakai,-1,NEGATIVE,sayaaa terbantu aplikasi dansaya akses jalan untukbisa tujuan danaplikasi sanagt bermanfaat danjuga sangat bagus untukdi pakai,sayaaa bantu aplikasi dansaya akses jalan untukbisa tuju danaplikasi sanagt manfaat danjuga sangat bagus untukdi pakai,"['sayaaa', 'bantu', 'aplikasi', 'dansaya', 'akses', 'jalan', 'untukbisa', 'tuju', 'danaplikasi', 'sanagt', 'manfaat', 'danjuga', 'sangat', 'bagus', 'untukdi', 'pakai']",sayaaa bantu aplikasi dansaya akses jalan untukbisa tuju danaplikasi sanagt manfaat danjuga sangat bagus untukdi pakai
Didi Sahidi,5,7/29/2024 12:41,sangat membantu untukkemana yang kita tuju dansangat terimakasih atas adayah google maps ini,-8,NEGATIVE,sangat membantu untukkemana tuju dansangat terimakasih atas adayah google maps,sangat bantu untukkemana tuju dansangat terimakasih atas adayah google maps,"['sangat', 'bantu', 'untukkemana', 'tuju', 'dansangat', 'terimakasih', 'atas', 'adayah', 'google', 'maps']",sangat bantu untukkemana tuju dansangat terimakasih atas adayah google maps
Siska Sinaga,5,7/29/2024 12:18,apk nya cepat saat di download dansangat mudah untukdi pahami sehingga tidak lagi repot repot mencari tempat tujuan tinggal guna aplikasi aj dancari tempat tujuan nya,-26,NEGATIVE,apk nya cepat download dansangat mudah untukdi pahami repot repot mencari tempat tujuan tinggal aplikasi aj dancari tempat tujuan nya,apk nya cepat download dansangat mudah untukdi paham repot repot cari tempat tuju tinggal aplikasi aj dancari tempat tuju nya,"['apk', 'nya', 'cepat', 'download', 'dansangat', 'mudah', 'untukdi', 'paham', 'repot', 'repot', 'cari', 'tempat', 'tuju', 'tinggal', 'aplikasi', 'aj', 'dancari', 'tempat', 'tuju', 'nya']",apk nya cepat download dansangat mudah untukdi paham repot repot cari tempat tuju tinggal aplikasi aj dancari tempat tuju nya
XI MM 3 Advent Boy Tampubolon,5,7/29/2024 12:09,aplikasi goegle maps sangatlah bagus di karnakan bisa mempermudah masayaarakat untukmenemukan jalan,-2,NEGATIVE,aplikasi goegle maps sangatlah bagus karnakan mempermudah masayaarakat untukmenemukan jalan,aplikasi goegle maps sangat bagus karnakan mudah masayaarakat untukmenemukan jalan,"['aplikasi', 'goegle', 'maps', 'sangat', 'bagus', 'karnakan', 'mudah', 'masayaarakat', 'untukmenemukan', 'jalan']",aplikasi goegle maps sangat bagus karnakan mudah masayaarakat untukmenemukan jalan
Kam Nadhoya Zhay,5,7/29/2024 11:13,bagus tapi akurasi perlu lebih ditingkatkan,5,POSITIVE,bagus akurasi perlu lebih ditingkatkan,bagus akurasi perlu lebih tingkat,"['bagus', 'akurasi', 'perlu', 'lebih', 'tingkat']",bagus akurasi perlu lebih tingkat
wielly Lie (Wiellylie),1,7/29/2024 8:24,semakin di update malah semakin parah lokasinya tidak bisa akurat dantepat tolong untukdi hapuskan yang pakai fake gps karna sangat mengganggu aktifitas kami sebagai driver,-15,NEGATIVE,semakin update malah semakin parah lokasinya akurat dantepat untukdi hapuskan pakai fake gps karna sangat mengganggu aktifitas driver,makin update malah makin parah lokasi akurat dantepat untukdi hapus pakai fake gps karna sangat ganggu aktifitas driver,"['makin', 'update', 'malah', 'makin', 'parah', 'lokasi', 'akurat', 'dantepat', 'untukdi', 'hapus', 'pakai', 'fake', 'gps', 'karna', 'sangat', 'ganggu', 'aktifitas', 'driver']",makin update malah makin parah lokasi akurat dantepat untukdi hapus pakai fake gps karna sangat ganggu aktifitas driver
Ahmadbin syafiudin,1,7/29/2024 0:17,titik biru maps selalu loncatloncat ke arah yang salah tolong dari pihak google maps di perbaiki lagi,-23,NEGATIVE,titik biru maps selalu loncatloncat arah salah pihak google maps perbaiki,titik biru maps selalu loncatloncat arah salah pihak google maps baik,"['titik', 'biru', 'maps', 'selalu', 'loncatloncat', 'arah', 'salah', 'pihak', 'google', 'maps', 'baik']",titik biru maps selalu loncatloncat arah salah pihak google maps baik
Ridho Noerfauzi,1,7/28/2024 22:49,minimnya fitur seperti tidak adaopsi avoid tol danrute dengan menggunakan kendaraan motor,-6,NEGATIVE,minimnya fitur adaopsi avoid tol danrute menggunakan kendaraan motor,minim fitur adaopsi avoid tol danrute guna kendara motor,"['minim', 'fitur', 'adaopsi', 'avoid', 'tol', 'danrute', 'guna', 'kendara', 'motor']",minim fitur adaopsi avoid tol danrute guna kendara motor
Asry_ Arima,4,7/28/2024 19:12,perbarui maps satelitnya karna tempat saya di sulawesi tenggara masih terlihat seperti hutan padahal sudah lama berkembang walaupun kecil,-10,NEGATIVE,perbarui maps satelitnya karna tempat sulawesi tenggara terlihat hutan padahal lama berkembang walaupun kecil,baru maps satelit karna tempat sulawesi tenggara lihat hutan padahal lama kembang walaupun kecil,"['baru', 'maps', 'satelit', 'karna', 'tempat', 'sulawesi', 'tenggara', 'lihat', 'hutan', 'padahal', 'lama', 'kembang', 'walaupun', 'kecil']",baru maps satelit karna tempat sulawesi tenggara lihat hutan padahal lama kembang walaupun kecil
Joan Rizal,1,7/28/2024 17:35,maps kacau sering banget kasih jalan k lokasi putar Tidak jelaspadahal harusnya dekat malah lewat jalan kecil jadinya muterg jelas nih maps,-6,NEGATIVE,maps kacau sering banget kasih jalan k lokasi putar jelaspadahal harusnya dekat malah lewat jalan kecil jadinya muterg jelas nih maps,maps kacau sering banget kasih jalan k lokasi putar jelaspadahal harus dekat malah lewat jalan kecil jadi muterg jelas nih maps,"['maps', 'kacau', 'sering', 'banget', 'kasih', 'jalan', 'k', 'lokasi', 'putar', 'jelaspadahal', 'harus', 'dekat', 'malah', 'lewat', 'jalan', 'kecil', 'jadi', 'muterg', 'jelas', 'nih', 'maps']",maps kacau sering banget kasih jalan k lokasi putar jelaspadahal harus dekat malah lewat jalan kecil jadi muterg jelas nih maps
ZEEC Fei,5,7/28/2024 15:42,aplikasi sangat membantu walaupun gak pake data tapi sangat akurat sekali saya rekomendasi aplikasi maps paling bagus,-11,NEGATIVE,aplikasi sangat membantu walaupun gak pake data sangat akurat sekali rekomendasi aplikasi maps paling bagus,aplikasi sangat bantu walaupun gak pake data sangat akurat sekali rekomendasi aplikasi maps paling bagus,"['aplikasi', 'sangat', 'bantu', 'walaupun', 'gak', 'pake', 'data', 'sangat', 'akurat', 'sekali', 'rekomendasi', 'aplikasi', 'maps', 'paling', 'bagus']",aplikasi sangat bantu walaupun gak pake data sangat akurat sekali rekomendasi aplikasi maps paling bagus
