userName,score,at,content,polarity_score,sentiment,content_stopwords,tokenized_stemmed,cleaned_tokenized_stemmed
ZEEC Fei,5,7/28/2024 15:42,aplikasi sangat membantu walaupun gak pakai data tapi sangat akurat sekali saya rekomendasi aplikasi maps paling bagus,-11,NEGATIVE,aplikasi sangat membantu walaupun gak pakai data sangat akurat sekali rekomendasi aplikasi maps paling bagus,"['aplikasi', 'bantu', 'gak', 'pakai', 'data', 'akurat', 'rekomendasi', 'aplikasi', 'maps', 'bagus']",aplikasi bantu gak pakai data akurat rekomendasi aplikasi maps bagus
Itsme Vana,5,7/28/2024 15:22,sangat bagus sekalimembantu kita untuk mencari rumah dan mengantarkan sampai tujuan yang kita inginkan,-7,NEGATIVE,sangat bagus sekalimembantu untuk mencari rumah mengantarkan tujuan kita inginkan,"['bagus', 'sekalimembantu', 'cari', 'rumah', 'antar', 'tuju']",bagus sekalimembantu cari rumah antar tuju
dla boutyou,5,7/28/2024 13:55,sangat berguna sekali aplikasi ini mempermudah untuk melacak lokasi dan mempercepat waktu perjalanan,-2,NEGATIVE,sangat berguna sekali aplikasi mempermudah melacak lokasi mempercepat waktu perjalanan,"['guna', 'aplikasi', 'mudah', 'lacak', 'lokasi', 'cepat', 'jalan']",guna aplikasi mudah lacak lokasi cepat jalan
Advensia Fredila Rembon,5,7/28/2024 13:41,sangat memuaskan karena sangat membantu saya untuk mencari lokasi dengan cepat dan efisien,-7,NEGATIVE,sangat memuaskan sangat membantu untuk mencari lokasi cepat efisien,"['muas', 'bantu', 'cari', 'lokasi', 'cepat', 'efisien']",muas bantu cari lokasi cepat efisien
Suyanto Aji Purwanto,1,7/28/2024 13:33,maps  linglungpikun pokoknya jangan di download buat sakit hati saja posisi  saya di mana titik  di maps di mana tolong di perbaiki lah kalau enggak bisa buat aplikasi mendingan dagang saja sampean,-29,NEGATIVE,maps  linglungpikun pokoknya jangan download buat sakit hati posisi  mana titik  maps di mana di perbaiki lah kalau enggak buat aplikasi mendingan dagang sampean,"['maps', 'linglungpikun', 'pokok', 'download', 'sakit', 'hati', 'posisi', 'titik', 'maps', 'baik', 'aplikasi', 'mending', 'dagang', 'sampean']",maps linglungpikun pokok download sakit hati posisi titik maps baik aplikasi mending dagang sampean
Kadek Dwi Dharma Putra,5,7/28/2024 9:33,saya saranin tambahin fitur dalam perjalanan bisa nyari warung toko atau apapun terdekat yang ngelewatin jalur yang dituju contoh sewaktu mau jalan ketempat tujuan ingin mencari dagang kue terdekat yang satu arah atau setidaknya lewat tapi tidak jauh dari jalur tujuan pasti akan sangat memudahkan pengguna maps,-34,NEGATIVE,saranin tambahin fitur perjalanan nyari warung toko apapun terdekat ngelewatin jalur dituju contoh sewaktu mau jalan ketempat tujuan mencari dagang kue terdekat satu arah setidaknya lewat tidak jauh jalur tujuan akan sangat memudahkan pengguna maps,"['saranin', 'tambahin', 'fitur', 'jalan', 'nyari', 'warung', 'toko', 'apa', 'dekat', 'ngelewatin', 'jalur', 'tuju', 'contoh', 'jalan', 'tempat', 'tuju', 'cari', 'dagang', 'kue', 'dekat', 'arah', 'jalur', 'tuju', 'mudah', 'guna', 'maps']",saranin tambahin fitur jalan nyari warung toko apa dekat ngelewatin jalur tuju contoh jalan tempat tuju cari dagang kue dekat arah jalur tuju mudah guna maps
Neng Triyan Oktaviani,5,7/28/2024 6:31,aplikasi yang benar benar bisa membantu untuk mencari tempat tempat yang sulit untuk dijangkau,-24,NEGATIVE,aplikasi benar benar membantu mencari tempat tempat sulit dijangkau,"['aplikasi', 'bantu', 'cari', 'sulit', 'jangkau']",aplikasi bantu cari sulit jangkau
Yana Mulyana,5,7/28/2024 2:26,sangat membantu dalam melaksanakan pekerjaan dan perjalananakurat,1,POSITIVE,sangat membantu melaksanakan pekerjaan perjalananakurat,"['bantu', 'laksana', 'kerja', 'perjalananakurat']",bantu laksana kerja perjalananakurat
Dirman Susanto,1,7/27/2024 20:59,sudah komen masih saja enggak ada tindakan batu benar maps  perbaikin woy rute  yang bener,-4,NEGATIVE,komen saja enggak tindakan batu benar maps  perbaikin woy rute  bener,"['komen', 'tindak', 'batu', 'maps', 'perbaikin', 'woy', 'rute', 'bener']",komen tindak batu maps perbaikin woy rute bener
Aagus Mustopa,5,7/27/2024 17:43,kenapa mapstidak bisaberbagi lokasipadahal lokasi sudah akurasi tinggiterus cuma ada pratinjaujadi enggak bisa memulai perjalananpadahal google maps sudah yang terbaru,-1,NEGATIVE,mapstidak bisaberbagi lokasipadahal lokasi akurasi tinggiterus cuma pratinjaujadi enggak memulai perjalananpadahal google maps yang terbaru,"['mapstidak', 'bisaberbagi', 'lokasipadahal', 'lokasi', 'akurasi', 'tinggiterus', 'pratinjaujadi', 'perjalananpadahal', 'google', 'maps', 'baru']",mapstidak bisaberbagi lokasipadahal lokasi akurasi tinggiterus pratinjaujadi perjalananpadahal google maps baru
Ragil Rio,1,7/27/2024 17:31,kenapa yaa di android lama enggak bisa bekerjaa mapsnyaa kayakk telepon vivo v android terlama lah intinyaa kalau di buat navigasii di buatt jalann kenapa tidak jalann mala terdapat suara sinyal navigasi anda lemahh kenapaa begituu yaa truss tidak dapat berjalan jika di mulaii kalau di rutee masih bisa jalan tolong di bantu menjawabb yaa terimakasihh,-20,NEGATIVE,yaa android lama enggak bekerjaa mapsnyaa kayakk telepon vivo v android terlama lah intinyaa kalau buat navigasii buatt jalann jalann mala terdapat suara sinyal navigasi lemahh kenapaa begituu yaa truss tidak dapat berjalan mulaii kalau di rutee bisa jalan di bantu menjawabb yaa terimakasihh,"['yaa', 'android', 'bekerjaa', 'mapsnyaa', 'kayakk', 'telepon', 'vivo', 'v', 'android', 'lama', 'intinyaa', 'navigasi', 'buatt', 'jalann', 'jalann', 'mala', 'suara', 'sinyal', 'navigasi', 'lemahh', 'kenapaa', 'begituu', 'yaa', 'truss', 'jalan', 'mulai', 'rutee', 'jalan', 'bantu', 'menjawabb', 'yaa', 'terimakasihh']",yaa android bekerjaa mapsnyaa kayakk telepon vivo v android lama intinyaa navigasi buatt jalann jalann mala suara sinyal navigasi lemahh kenapaa begituu yaa truss jalan mulai rutee jalan bantu menjawabb yaa terimakasihh
jelajah nusantara,3,7/27/2024 10:11,update hampir tiap minggu ini gmaps tetapi masih saja bodoh dan koclok padahal rute tinggal lurus ajamasih saja di belokkin b saja lah lebih bagusan waze dari pada gmaps,-12,NEGATIVE,update hampir tiap minggu gmaps masih bodoh koclok padahal rute tinggal lurus ajamasih di belokkin b lah lebih bagusan waze pada gmaps,"['update', 'minggu', 'gmaps', 'bodoh', 'koclok', 'rute', 'tinggal', 'lurus', 'ajamasih', 'belokkin', 'b', 'bagus', 'waze', 'gmaps']",update minggu gmaps bodoh koclok rute tinggal lurus ajamasih belokkin b bagus waze gmaps
ABDUL ROHMAN,1,7/27/2024 0:26,maps bangke di perbaharui malah ngelunjak putar kaya gangsing malah sering di buat nyasar malah di tunjukin jalur sepedah hadeh gasekalian saja tunjukin jalur mendaki,-15,NEGATIVE,maps bangke perbaharui malah ngelunjak putar kaya gangsing malah sering buat nyasar malah tunjukin jalur sepedah hadeh gasekalian tunjukin jalur mendaki,"['maps', 'bangke', 'baharu', 'ngelunjak', 'putar', 'kaya', 'gangsing', 'nyasar', 'tunjukin', 'jalur', 'dah', 'hadeh', 'gasekalian', 'tunjukin', 'jalur', 'daki']",maps bangke baharu ngelunjak putar kaya gangsing nyasar tunjukin jalur dah hadeh gasekalian tunjukin jalur daki
AGUNG TAN,1,7/26/2024 20:26,gps bodoh sudah diakurasi tetap tidak dapat yang tinggi selalu rendah,-10,NEGATIVE,gps bodoh diakurasi tetap dapat tinggi selalu rendah,"['gps', 'bodoh', 'akurasi', 'rendah']",gps bodoh akurasi rendah
Novita Anggraini,5,7/26/2024 18:19,alhamdulillah kampung kitab kuning recommended banget buat temen yang mau belajar nahwu shorof dan kitab kuning dalam waktu yang relatif singkat semoga semakin bermanfaat kedepannya,1,POSITIVE,alhamdulillah kampung kitab kuning recommended banget buat temen mau belajar nahwu shorof kitab kuning waktu relatif singkat semoga semakin bermanfaat kedepannya,"['alhamdulillah', 'kampung', 'kitab', 'kuning', 'recommended', 'banget', 'temen', 'ajar', 'nahwu', 'shorof', 'kitab', 'kuning', 'relatif', 'singkat', 'moga', 'manfaat', 'depan']",alhamdulillah kampung kitab kuning recommended banget temen ajar nahwu shorof kitab kuning relatif singkat moga manfaat depan
Slamet widodo,5,7/26/2024 14:35,walaupun enggak pernh main jauh sampai luar pulau tapi maps aplikasi slalu aku update karna penting buatku sendiri semoga ajah slalu enak dipakai biar kita semua nyaman sebagai pengguna maps google,-12,NEGATIVE,walaupun enggak pernh main jauh luar pulau maps aplikasi slalu aku update karna penting buatku sendiri semoga ajah slalu enak dipakai biar semua nyaman pengguna maps google,"['pernh', 'main', 'pulau', 'maps', 'aplikasi', 'slalu', 'update', 'karna', 'buat', 'moga', 'ajah', 'slalu', 'enak', 'pakai', 'biar', 'nyaman', 'guna', 'maps', 'google']",pernh main pulau maps aplikasi slalu update karna buat moga ajah slalu enak pakai biar nyaman guna maps google
Rayhanghifari24 Ghifari,5,7/26/2024 14:33,sangat bagus untuk perjalanan jauh rekomendasi banget pokoknya buat google map,-5,NEGATIVE,sangat bagus perjalanan jauh rekomendasi banget pokoknya buat google map,"['bagus', 'jalan', 'rekomendasi', 'banget', 'pokok', 'google', 'map']",bagus jalan rekomendasi banget pokok google map
Syaiful Rizal,2,7/26/2024 13:42,aplikasi google maps seringbeberapa kali diupdatediperbarui tapi tidak terbaru dan masih versi lama terus tempatnya masih seperti dulu misalnya bangunan rumah belum jadijadi masih pondasi,-4,NEGATIVE,aplikasi google maps seringbeberapa kali diupdatediperbarui tidak terbaru versi lama terus tempatnya seperti dulu misalnya bangunan rumah jadijadi masih pondasi,"['aplikasi', 'google', 'maps', 'seringbeberapa', 'kali', 'diupdatediperbarui', 'baru', 'versi', 'tempat', 'bangun', 'rumah', 'jadijadi', 'pondasi']",aplikasi google maps seringbeberapa kali diupdatediperbarui baru versi tempat bangun rumah jadijadi pondasi
Cecelia Marsela Faymau,2,7/26/2024 12:22,hp saya di tempat lain titik maps malah di tempat lain akurasi meleset  km payah,-23,NEGATIVE,hp tempat titik maps malah di tempat akurasi meleset  km payah,"['hp', 'titik', 'maps', 'akurasi', 'meleset', 'km', 'payah']",hp titik maps akurasi meleset km payah
Shengguo,1,7/26/2024 9:21,genap ganjil jalan s parman tidak ada perubahanganjil genap ke rs tarakan dari cideng juga salah jalan ditutup jam  pagi kalau bisa diperbaiki,-20,NEGATIVE,genap ganjil jalan s parman ada perubahanganjil genap rs tarakan cideng salah jalan ditutup jam  pagi kalau diperbaiki,"['genap', 'ganjil', 'jalan', 's', 'parman', 'perubahanganjil', 'genap', 'rs', 'tara', 'cideng', 'salah', 'jalan', 'tutup', 'jam', 'pagi', 'baik']",genap ganjil jalan s parman perubahanganjil genap rs tara cideng salah jalan tutup jam pagi baik
Tito Armanda,1,7/26/2024 2:09,kacau maps  doc ternak saya jadi lambat datang karena di kasih rute tercepat salah kata supirnya yang harusnya lwt poros malah masuk pelosok,-25,NEGATIVE,kacau maps  doc ternak jadi lambat datang di kasih rute tercepat salah kata supirnya harusnya lwt poros malah masuk pelosok,"['kacau', 'maps', 'doc', 'ternak', 'lambat', 'kasih', 'rute', 'cepat', 'salah', 'supirnya', 'lwt', 'poros', 'masuk', 'pelosok']",kacau maps doc ternak lambat kasih rute cepat salah supirnya lwt poros masuk pelosok
Ardy Amatire,1,7/25/2024 23:02,sering di arahkan ke jalan buntu jalan yang di tutup permanen sama sering di arahkan ke jalan yang memutar cukup jauh,-12,NEGATIVE,sering arahkan jalan buntu jalan tutup permanen sama sering di arahkan jalan memutar cukup jauh,"['arah', 'jalan', 'buntu', 'jalan', 'tutup', 'permanen', 'arah', 'jalan', 'putar']",arah jalan buntu jalan tutup permanen arah jalan putar
In dra,1,7/25/2024 22:23,kadang pakai google map Tidak sesuai yang d tuju d putar terus sampek bingung saya sebagai kurir express kecewa sama aplikasi  masak d buat putar Tidak nyampek alamat,-3,NEGATIVE,kadang pakai google map Tidak sesuai d tuju d putar terus sampek bingung sebagai kurir express kecewa sama aplikasi  masak d buat putar Tidak nyampek alamat,"['kadang', 'pakai', 'google', 'map', 'sesuai', 'd', 'tuju', 'd', 'putar', 'sampek', 'bingung', 'kurir', 'express', 'kecewa', 'aplikasi', 'masak', 'd', 'putar', 'nyampek', 'alamat']",kadang pakai google map sesuai d tuju d putar sampek bingung kurir express kecewa aplikasi masak d putar nyampek alamat
muh adnan noor,5,7/25/2024 21:17,sangat membantu buat perjalanan jauh dan juga lokasinya lumayan akurat,-6,NEGATIVE,sangat membantu buat perjalanan jauh juga lokasinya lumayan akurat,"['bantu', 'jalan', 'lokasi', 'lumayan', 'akurat']",bantu jalan lokasi lumayan akurat
Ery In Drive,2,7/25/2024 19:49,hanya pengendara online yang bisa membaca dan menguasai maps orang awam di jamin bakal bingung jika perjalanan menggunakan maps karena tidak sedikit rute rute yang simpel malah di arahkan ke gang sempit yang terkadang malah tidak bisa di lalui mobil entah patokan apa yang di gunakan google maps sehingga seringkali mengarahkan pengguna ke rute rute yang justrru menyusahkan pengguna apa karena pesanan dari pihak aplikasi ojek online supaya bisa sebagai pembenaran dari harga yang murah meriah,-73,NEGATIVE,pengendara online bisa membaca menguasai maps orang awam jamin bakal bingung perjalanan menggunakan maps sedikit rute rute simpel malah arahkan gang sempit terkadang malah tidak bisa lalui mobil entah patokan apa di gunakan google maps seringkali mengarahkan pengguna rute rute justrru menyusahkan pengguna apa pesanan pihak aplikasi ojek online bisa pembenaran harga murah meriah,"['kendara', 'online', 'baca', 'kuasa', 'maps', 'orang', 'awam', 'jamin', 'bingung', 'jalan', 'maps', 'rute', 'rute', 'simpel', 'arah', 'gang', 'sempit', 'terkadang', 'lalu', 'mobil', 'patok', 'google', 'maps', 'seringkali', 'arah', 'guna', 'rute', 'rute', 'justrru', 'susah', 'guna', 'pesan', 'aplikasi', 'ojek', 'online', 'benar', 'harga', 'murah', 'riah']",kendara online baca kuasa maps orang awam jamin bingung jalan maps rute rute simpel arah gang sempit terkadang lalu mobil patok google maps seringkali arah guna rute rute justrru susah guna pesan aplikasi ojek online benar harga murah riah
erik febbyr,1,7/25/2024 17:50,maps semakin kesini semakin parah navigasinya ngaco parah fakta di jalanan macet parah tapi di navigasinya biru lancar jaya enta kdang kadang ente,-9,NEGATIVE,maps semakin kesini semakin parah navigasinya ngaco parah fakta jalanan macet parah di navigasinya biru lancar jaya enta kdang kadang ente,"['maps', 'kesini', 'parah', 'navigasi', 'ngaco', 'parah', 'fakta', 'jalan', 'macet', 'parah', 'navigasi', 'biru', 'lancar', 'jaya', 'enta', 'kdang', 'kadang', 'ente']",maps kesini parah navigasi ngaco parah fakta jalan macet parah navigasi biru lancar jaya enta kdang kadang ente
dodowi sudjijo,3,7/25/2024 16:36,suka eror x kami dicarikan jalan yang lebih jauh dan lewat jalan yang sempit untuk masuk gerbang tol di setu bekasi,-25,NEGATIVE,suka eror x dicarikan jalan lebih jauh lewat jalan sempit masuk gerbang tol setu bekasi,"['suka', 'eror', 'x', 'cari', 'jalan', 'jalan', 'sempit', 'masuk', 'gerbang', 'tol', 'setu', 'bekas']",suka eror x cari jalan jalan sempit masuk gerbang tol setu bekas
Gilang Byntara,5,7/25/2024 12:02,bagus dan informasi sangat menjelaskan posisi sesuai akurasinya,2,POSITIVE,bagus informasi sangat menjelaskan posisi sesuai akurasinya,"['bagus', 'informasi', 'posisi', 'sesuai', 'akurasi']",bagus informasi posisi sesuai akurasi
Bambang Erawan,5,7/25/2024 11:40,tolong akurasinya ditingkatkan dan kecepatan loading thanks,8,POSITIVE,akurasinya ditingkatkan kecepatan loading thanks,"['akurasi', 'tingkat', 'cepat', 'loading', 'thanks']",akurasi tingkat cepat loading thanks
Gian Pramana,1,7/25/2024 8:21,kacau yang sekarang ini menjadi lambat dan kalau sudah dekat auto zoom aplikasi sudah tua tapi belum tuntas sampah banget,-12,NEGATIVE,kacau sekarang menjadi lambat kalau dekat auto zoom aplikasi tua belum tuntas sampah banget,"['kacau', 'lambat', 'auto', 'zoom', 'aplikasi', 'tua', 'tuntas', 'sampah', 'banget']",kacau lambat auto zoom aplikasi tua tuntas sampah banget
Supri Adi,5,7/25/2024 5:28,gimana ini goggle maps sekarang kalau kita jalan nggak ngikut padahal saya jalan tapi maps  masih mantap dan tetap di mana saya berada sebelumnya tolong di perbaiki lagi ini versi baru,1,POSITIVE,gimana goggle maps sekarang kalau jalan ngikut padahal jalan maps  mantap tetap mana berada sebelumnya di perbaiki ini versi baru,"['gimana', 'goggle', 'maps', 'jalan', 'ngikut', 'jalan', 'maps', 'mantap', 'baik', 'versi']",gimana goggle maps jalan ngikut jalan maps mantap baik versi
Muhd_irfan Wrd14,2,7/24/2024 21:47,navigasi  kacau banget titik biru  hanya diam di tempat dan sering pindah sendiri jadi susah menemukan lokasinya semenjak update maps jadi tidak berfungsi sama sekali walaupun sudah di kalibrasi tetap saja diam di tempat titik biru saya jadi susah menggunakannya mohon di perbaiki lagi lah apa telepon di ram gb sudah tidak bisa menggunakan maps lagi,-45,NEGATIVE,navigasi  kacau banget titik biru  diam tempat sering pindah sendiri jadi susah menemukan lokasinya semenjak update maps jadi berfungsi sama sekali walaupun kalibrasi tetap diam tempat titik biru jadi susah menggunakannya mohon perbaiki lah apa telepon di ram gb tidak menggunakan maps,"['navigasi', 'kacau', 'banget', 'titik', 'biru', 'diam', 'pindah', 'susah', 'temu', 'lokasi', 'semenjak', 'update', 'maps', 'fungsi', 'kalibrasi', 'diam', 'titik', 'biru', 'susah', 'guna', 'mohon', 'baik', 'telepon', 'ram', 'gb', 'maps']",navigasi kacau banget titik biru diam pindah susah temu lokasi semenjak update maps fungsi kalibrasi diam titik biru susah guna mohon baik telepon ram gb maps
Arif Sumar,2,7/24/2024 21:18,maps suka binggung sering putar menunjukan arah tujuan suka di tujukan jalan yang sempit dan juga buntu,-8,NEGATIVE,maps suka binggung sering putar menunjukan arah tujuan suka tujukan jalan sempit juga buntu,"['maps', 'suka', 'binggung', 'putar', 'tunjuk', 'arah', 'tuju', 'suka', 'tuju', 'jalan', 'sempit', 'buntu']",maps suka binggung putar tunjuk arah tuju suka tuju jalan sempit buntu
Cover Bodymobil,1,7/24/2024 20:33,tambah di update tambah kacau udah jelas ada jalur terpendek di putar ke jalur tidak jelas untung saja ngerti wilayah kalau gak putar tidak karuan,-17,NEGATIVE,tambah update tambah kacau udah jelas jalur terpendek putar jalur jelas untung ngerti wilayah kalau gak putar karuan,"['update', 'kacau', 'udah', 'jalur', 'pendek', 'putar', 'jalur', 'untung', 'ngerti', 'wilayah', 'gak', 'putar', 'karuan']",update kacau udah jalur pendek putar jalur untung ngerti wilayah gak putar karuan
Sukron MD,5,7/24/2024 19:26,titik kordinat lokasi tidak akuratjarak titik lokasi saya dengan di peta satelit kurang lebih  km,-19,NEGATIVE,titik kordinat lokasi akuratjarak titik lokasi dengan peta satelit kurang lebih  km,"['titik', 'kordinat', 'lokasi', 'akuratjarak', 'titik', 'lokasi', 'peta', 'satelit', 'km']",titik kordinat lokasi akuratjarak titik lokasi peta satelit km
Ana Luci,2,7/24/2024 18:23,maaf kasih bintang  soalnya memang kurang rekomen karena cek linimasa di android go tidak berfungsi,-12,NEGATIVE,maaf kasih bintang  soalnya memang kurang rekomen cek linimasa android go berfungsi,"['maaf', 'kasih', 'bintang', 'rekomen', 'cek', 'linimasa', 'android', 'go', 'fungsi']",maaf kasih bintang rekomen cek linimasa android go fungsi
Sep Rohmat,5,7/24/2024 17:48,sangat membantu semoga kedepannya lebih akurat lagi terutama klu masuk gang kecil perkampungan,-10,NEGATIVE,sangat membantu semoga kedepannya lebih akurat terutama klu masuk gang kecil perkampungan,"['bantu', 'moga', 'depan', 'akurat', 'klu', 'masuk', 'gang', 'kampung']",bantu moga depan akurat klu masuk gang kampung
Ali .S,5,7/24/2024 16:09,sangat membantu sekali dalam menelusuri tempat yang menarik hati cuma mohon untuk lebih ditingkat lagi akurasi tempat tersebut maz bro trim,-13,NEGATIVE,sangat membantu sekali menelusuri tempat menarik hati cuma mohon lebih ditingkat akurasi tempat tersebut maz bro trim,"['bantu', 'telusur', 'tarik', 'hati', 'mohon', 'tingkat', 'akurasi', 'maz', 'bro', 'trim']",bantu telusur tarik hati mohon tingkat akurasi maz bro trim
Rezer Abdullah,1,7/24/2024 15:07,ini kenapa saat menggunakan navigasi selalu ketinggalan navigasi  jauh dari posisi saat itu perbaiki navigasi segera,-12,NEGATIVE,kenapa menggunakan navigasi selalu ketinggalan navigasi  jauh posisi itu perbaiki navigasi segera,"['navigasi', 'tinggal', 'navigasi', 'posisi', 'baik', 'navigasi']",navigasi tinggal navigasi posisi baik navigasi
Hakun,1,7/24/2024 14:54,google saya sudah melaporkan lewat akun profil saya pada kolom saran dan kritik tapi anehnya tidak bisa mengirim hasil screenshot untuk menunjukan bug atau nama perangkat yang berhasil tertanam di playstore karena malware tersebut berhasil merubah setinngannya,-24,NEGATIVE,google sudah melaporkan lewat akun profil pada kolom saran kritik anehnya bisa mengirim hasil screenshot menunjukan bug nama perangkat berhasil tertanam playstore malware tersebut berhasil merubah setinngannya,"['google', 'lapor', 'akun', 'profil', 'kolom', 'saran', 'kritik', 'aneh', 'kirim', 'hasil', 'screenshot', 'tunjuk', 'bug', 'nama', 'perangkat', 'hasil', 'tanam', 'playstore', 'malware', 'hasil', 'rubah', 'setinngannya']",google lapor akun profil kolom saran kritik aneh kirim hasil screenshot tunjuk bug nama perangkat hasil tanam playstore malware hasil rubah setinngannya
Rahmat setiadi,4,7/24/2024 13:49,baik dan bagus tetapi terkadang terkendala lokasi yang ta akurat di saat butuh perjalanan tujuan semoga ada perbaikan,-2,NEGATIVE,baik bagus terkadang terkendala lokasi ta akurat saat butuh perjalanan tujuan semoga perbaikan,"['bagus', 'terkadang', 'kendala', 'lokasi', 'ta', 'akurat', 'butuh', 'jalan', 'tuju', 'moga', 'baik']",bagus terkadang kendala lokasi ta akurat butuh jalan tuju moga baik
BOCAH ENGKREZ,2,7/24/2024 13:47,ada jalan bagus di kasih jalan jelek ada jalan deket bagus malah di kasih jalan jauh jelek entah lah semoga bisa di benerin lagi biyar gak muter,-11,NEGATIVE,jalan bagus kasih jalan jelek jalan deket bagus malah kasih jalan jauh jelek entah lah semoga di benerin biyar gak muter,"['jalan', 'bagus', 'kasih', 'jalan', 'jelek', 'jalan', 'deket', 'bagus', 'kasih', 'jalan', 'jelek', 'moga', 'benerin', 'biyar', 'gak', 'muter']",jalan bagus kasih jalan jelek jalan deket bagus kasih jalan jelek moga benerin biyar gak muter
Cyclone X816,1,7/24/2024 13:31,kalau menunjukkan arahnya yang benar kenapa masa iya saya harus melewati semak belukar untuk rute berikutnya kan parah benar ini google maps,-22,NEGATIVE,kalau menunjukkan arahnya benar masa iya harus melewati semak belukar rute berikutnya kan parah benar google maps,"['arah', 'iya', 'lewat', 'semak', 'belukar', 'rute', 'parah', 'google', 'maps']",arah iya lewat semak belukar rute parah google maps
Irfan Irfan,1,7/24/2024 6:11,aplikasi update tetus tapi ngacobkn semakin deket tetapi semakin jauhmap motor berubah terus jadi maps mobil,4,POSITIVE,aplikasi update tetus ngacobkn semakin deket semakin jauhmap motor berubah terus jadi maps mobil,"['aplikasi', 'update', 'tetus', 'ngacobkn', 'deket', 'jauhmap', 'motor', 'ubah', 'maps', 'mobil']",aplikasi update tetus ngacobkn deket jauhmap motor ubah maps mobil
Ahmad Denhas0608,5,7/23/2024 23:19,semoga navigasi jangan suka eror tau kan kesel gimana ketika kgk tau daerahjalan raya rame terus navigasi kgk gerak itu sangat baik di sebut dengan sebutan,-26,NEGATIVE,semoga navigasi jangan suka eror tau kan kesel gimana kgk tau daerahjalan raya rame terus navigasi kgk gerak sangat baik sebut sebutan,"['moga', 'navigasi', 'suka', 'eror', 'tau', 'kesel', 'gimana', 'kgk', 'tau', 'daerahjalan', 'raya', 'rame', 'navigasi', 'kgk', 'gerak', 'sebut']",moga navigasi suka eror tau kesel gimana kgk tau daerahjalan raya rame navigasi kgk gerak sebut
Jodi Putra Sahira,5,7/23/2024 15:20,google maps bagus mempermudah untuk menentukan tempat pertama kali yang di tuju,-10,NEGATIVE,google maps bagus mempermudah menentukan tempat pertama kali di tuju,"['google', 'maps', 'bagus', 'mudah', 'tentu', 'kali', 'tuju']",google maps bagus mudah tentu kali tuju
Evan Putra,1,7/23/2024 13:58,tidak berjalan mulus banyak kendala seperti lemot dan titik lokasi tidak berjalan,-20,NEGATIVE,berjalan mulus banyak kendala lemot titik lokasi berjalan,"['jalan', 'mulus', 'kendala', 'lot', 'titik', 'lokasi', 'jalan']",jalan mulus kendala lot titik lokasi jalan
Warman Budi. W,3,7/23/2024 12:45,knpa sih stelah d perbarui jadi eror trsmalah kasih jalan nyasar lebih jauhtolong dong perbaikin lgsdh pas waktunya belok navigasi eror jdnya nyasar putar jauh,-13,NEGATIVE,knpa sih stelah d perbarui jadi eror trsmalah kasih jalan nyasar lebih jauhtolong dong perbaikin lgsdh pas waktunya belok navigasi eror jdnya nyasar putar jauh,"['knpa', 'sih', 'stelah', 'd', 'baru', 'eror', 'trsmalah', 'kasih', 'jalan', 'nyasar', 'jauhtolong', 'perbaikin', 'lgsdh', 'pas', 'belok', 'navigasi', 'eror', 'jdnya', 'nyasar', 'putar']",knpa sih stelah d baru eror trsmalah kasih jalan nyasar jauhtolong perbaikin lgsdh pas belok navigasi eror jdnya nyasar putar
Y. Ismail,3,7/23/2024 11:42,hi admin mengapa sudah di berikan bendera merah pada tempat yang di tuju setlh buat ada tambahan jalan kaki dan seharusnya bila google maps di hapus tidak keluar lagi pd aplikasi tersebut sehingga jadi tidak terkecok dalam membuat yang baru alamat,-27,NEGATIVE,hi admin sudah berikan bendera merah tempat tuju setlh buat tambahan jalan kaki seharusnya bila google maps di hapus keluar pd aplikasi tersebut jadi terkecok membuat baru alamat,"['hi', 'admin', 'bendera', 'merah', 'tuju', 'setlh', 'tambah', 'jalan', 'kaki', 'google', 'maps', 'hapus', 'pd', 'aplikasi', 'cok', 'alamat']",hi admin bendera merah tuju setlh tambah jalan kaki google maps hapus pd aplikasi cok alamat
August Rydone,1,7/23/2024 10:45,maps kenapa ya sudah  hari ini mengapa eror mencari rute terbaik loading lama internet bagus setelah di tunggupun munculnya terjadi erorr dan coba lagi kenapa padahal saya perlu banget mohon dapat di periksa terima kasih,-2,NEGATIVE,maps ya  hari mengapa eror mencari rute terbaik loading lama internet bagus di tunggupun munculnya terjadi erorr coba kenapa padahal perlu banget mohon di periksa terima kasih,"['maps', 'ya', 'eror', 'cari', 'rute', 'baik', 'loading', 'internet', 'bagus', 'tunggu', 'muncul', 'erorr', 'coba', 'banget', 'mohon', 'periksa', 'terima', 'kasih']",maps ya eror cari rute baik loading internet bagus tunggu muncul erorr coba banget mohon periksa terima kasih
