userName,score,at,content,label,content_stopwords,content_stemmed
Arif Sumar,2,7/24/2024 21:18,"Maps suka binggung sering muter2 menunjukan arah tujuan, suka di tujukan jalan yang sempit danjuga buntu",negatif,"Maps suka binggung sering muter2 menunjukan arah tujuan , suka tujukan jalan sempit danjuga buntu",maps suka binggung sering muter2 tunjuk arah tuju suka tuju jalan sempit danjuga buntu
Cover Bodymobil,1,7/24/2024 20:33,"Tambah di update tambah kacau, sudahjelas adajalur terpendek di puter2 ke jalur tidak jelas, untung saja ngerti wilayah, kalau gak muter2 tidak karuan",negatif,"Tambah update tambah kacau , sudahjelas adajalur terpendek puter2 jalur jelas , untung ngerti wilayah , kalau gak muter2 karuan",tambah update tambah kacau sudahjelas adajalur pendek puter2 jalur jelas untung ngerti wilayah kalau gak muter2 karuan
Sukron MD,5,7/24/2024 19:26,Titik kordinat lokasi tidak akurat.jarak titik lokasi saya dgn di peta satelit kurang lebih 1.05 km..,negatif,Titik kordinat lokasi akurat.jarak titik lokasi dgn peta satelit kurang lebih 1.05 km ..,titik kordinat lokasi akurat jarak titik lokasi dgn peta satelit kurang lebih 1 05 km
Ana Luci,2,7/24/2024 18:23,"Maaf kasih bintang 2, soalnya memang kurang rekomen. karena cek linimasa di android go tidak berfungsi.",negatif,"Maaf kasih bintang 2 , soalnya memang kurang rekomen . cek linimasa android go berfungsi .",maaf kasih bintang 2 soal memang kurang rekomen cek linimasa android go fungsi
Sep Rohmat,5,7/24/2024 17:48,"sangat membantu, semoga kedepannya lebih akurat lagi terutama klu masuk gang2 kecil perkampungan.",negatif,"sangat membantu , semoga kedepannya lebih akurat terutama klu masuk gang2 kecil perkampungan .",sangat bantu moga depan lebih akurat utama klu masuk gang2 kecil kampung
Ali .S,5,7/24/2024 16:09,"Sangat membantu sekali dalam menelusuri tempat yang menarik hati,, cuma mohon untuklebih ditingkat lagi akurasi tempat tersebut maz bro, trim.",negatif,"Sangat membantu sekali menelusuri tempat menarik hati , , cuma mohon untuklebih ditingkat akurasi tempat tersebut maz bro , trim .",sangat bantu sekali telusur tempat tarik hati cuma mohon untuklebih tingkat akurasi tempat sebut maz bro trim
Rezer Abdullah,1,7/24/2024 15:07,"Ini kenapa saat menggunakan navigasi, selalu ketinggalan, navigasi nya jauh dari posisi saat itu, perbaiki navigasi segera",negatif,"menggunakan navigasi , selalu ketinggalan , navigasi nya jauh posisi , perbaiki navigasi segera",guna navigasi selalu tinggal navigasi nya jauh posisi baik navigasi segera
Hakun,1,7/24/2024 14:54,Google saya sudah melaporkan lewat akun profil saya pada kolom saran dankritik. Tapi anehnya tidak bisa mengirim hasil screenshot untukmenunjukan bug atau nama perangkat yang berhasil tertanam di PlayStore karena malware tersebut berhasil merubah setinngannya.?,negatif,Google melaporkan lewat akun profil kolom saran dankritik . anehnya mengirim hasil screenshot untukmenunjukan bug nama perangkat berhasil tertanam PlayStore malware tersebut berhasil merubah setinngannya . ?,google lapor lewat akun profil kolom saran dankritik aneh kirim hasil screenshot untukmenunjukan bug nama perangkat hasil tanam playstore malware sebut hasil rubah setinngannya
Rahmat setiadi,4,7/24/2024 13:49,Baik danbagus TPI terkadang terkendala lokasi yang ta akurat di saat butuh perjalanan .tujuan .semoga adaperbaikan .,positif,Baik danbagus TPI terkadang terkendala lokasi ta akurat butuh perjalanan .tujuan .semoga adaperbaikan .,baik danbagus tpi terkadang kendala lokasi ta akurat butuh jalan tuju moga adaperbaikan
BOCAH ENGKREZ,2,7/24/2024 13:47,Ada jalan bagus di kasih jalan jelek. Ada jalan deket (bagus). malah di kasih jalan jauh (jelek) Entah lah... Moga bisa di benerin lagi. Biyar gak muter2,positif,jalan bagus kasih jalan jelek . jalan deket ( bagus ) . malah kasih jalan jauh ( jelek ) Entah lah ... Moga benerin . Biyar gak muter2,jalan bagus kasih jalan jelek jalan deket bagus malah kasih jalan jauh jelek entah lah moga benerin biyar gak muter2
Cyclone X816,1,7/24/2024 13:31,Kalau menunjukkan arahnya yang bener kenapa. Masa iya saya harus melewati semak belukar untukrute berikutnya kan parah bener ini google maps ðŸ—¿,negatif,Kalau menunjukkan arahnya bener . Masa iya melewati semak belukar untukrute berikutnya kan parah bener google maps ðŸ—¿,kalau tunjuk arah bener masa iya lewat semak belukar untukrute ikut kan parah bener google maps
Irfan Irfan,1,7/24/2024 6:11,Aplikasi update tetus tapi ngaco.bkn semakin deket tetapi semakin jauh.map motor berubah terus jadi maps mobil.!!,negatif,Aplikasi update tetus ngaco.bkn semakin deket semakin jauh.map motor berubah terus jadi maps mobil. ! !,aplikasi update tetus ngaco bkn makin deket makin jauh map motor ubah terus jadi maps mobil
Rohman Omen,5,7/23/2024 23:31,"Sangat membantu danakurat sekali,,, Semoga selau di perbaikan aplikasinya maps klau adakekurangannya,,,",negatif,"Sangat membantu danakurat sekali , , , Semoga selau perbaikan aplikasinya maps klau adakekurangannya , , ,",sangat bantu danakurat sekali moga selau baik aplikasi maps klau adakekurangannya
Ahmad Denhas0608,5,7/23/2024 23:19,Semoga navigasi jangan suka error tau kan kesel gimana ketika kgk tau daerah+jalan raya rame terus navigasi kgk gerak itu sangat baik di sebut dgn Sebutan ðŸ¶ðŸ·,negatif,Semoga navigasi jangan suka error tau kan kesel gimana kgk tau daerah+jalan raya rame terus navigasi kgk gerak sangat baik sebut dgn Sebutan ðŸ¶ðŸ·,moga navigasi jangan suka error tau kan kesel gimana kgk tau daerah jalan raya rame terus navigasi kgk gerak sangat baik sebut dgn sebut
Jodi Putra Sahira,5,7/23/2024 15:20,google maps bagus mempermudah untukmenentukan tempat pertama kali yang di tuju,positif,google maps bagus mempermudah untukmenentukan tempat pertama kali tuju,google maps bagus mudah untukmenentukan tempat pertama kali tuju
Evan Putra,1,7/23/2024 13:58,"Tidak berjalan mulus, banyak kendala seperti lemot dantitik lokasi tidak berjalan",negatif,"berjalan mulus , banyak kendala lemot dantitik lokasi berjalan",jalan mulus banyak kendala lot dantitik lokasi jalan
Warman Budi. W,3,7/23/2024 12:45,Knpa sih stelah d perbarui jadi eror trs..malah ksh jalan nyasar lbh jauh..tolong dong perbaikin lg..sdh pas waktunya belok gps eror jdnya nyasar putar jauh,negatif,Knpa sih stelah d perbarui jadi eror trs .. malah ksh jalan nyasar lbh jauh .. dong perbaikin lg .. sdh pas waktunya belok gps eror jdnya nyasar putar jauh,knpa sih stelah d baru jadi eror trs malah ksh jalan nyasar lbh jauh dong perbaikin lg sdh pas waktu belok gps eror jdnya nyasar putar jauh
Y. Ismail,3,7/23/2024 11:42,"Hi admin. Mengapa sudah di berikan bendera merah pada tempat yang di tuju, setlh untukadatambahan jln kaki. Dan seharusnya bila google maps di hapus tidak keluar lagi pd aplikasi tersebut , shg jdi tidak terkecok dalam membuat yang baru alamat.",negatif,"Hi admin . berikan bendera merah tempat tuju , setlh untukadatambahan jln kaki . bila google maps hapus keluar pd aplikasi tersebut , shg jdi terkecok membuat baru alamat .",hi admin ikan bendera merah tempat tuju setlh untukadatambahan jln kaki bila google maps hapus keluar pd aplikasi sebut shg jdi cok buat baru alamat
August Rydone,1,7/23/2024 10:45,"Maps.... Kenapa ya...? Sudah 2 hari ini mengapa error..? Mencari rute terbaik, loading lama. Internet bagus. Setelah di tunggupun munculnya terjadi erorr dancoba lagi ! Kenapa ? Padahal saya perlu banget... Mohon dapat di periksa.. Terima kasih .",positif,"Maps .... ... ? 2 hari error .. ? Mencari rute terbaik , loading lama . Internet bagus . tunggupun munculnya terjadi erorr dancoba ! ? Padahal perlu banget ... Mohon periksa .. Terima kasih .",maps 2 hari error cari rute baik loading lama internet bagus tunggu muncul jadi erorr dancoba padahal perlu banget mohon periksa terima kasih
E Nor,1,7/23/2024 9:45,"Setelah di update linimasa tidak bisa di akses dengan alasan hp yang digunakan versi android go, percuma puna maps tetapi tidak bsa akses linimasa tolong perbaiki lagi sistem ny agar linimasa bisa di akses segala jenis hp biar yang punya hp kentang bsa pakai fitur linimasa juga",negatif,"update linimasa akses alasan hp digunakan versi android go , percuma puna maps bsa akses linimasa perbaiki sistem ny linimasa akses segala jenis hp biar punya hp kentang bsa pakai fitur linimasa",update linimasa akses alas hp guna versi android go percuma puna maps bsa akses linimasa baik sistem ny linimasa akses segala jenis hp biar punya hp kentang bsa pakai fitur linimasa
Muhtar Stefanus Barus,1,7/23/2024 9:37,Sangat jelek di banding kan dengan yang awal dansinyal lambat klu bisa di kembalikan seperti semula..tq,negatif,Sangat jelek banding kan awal dansinyal lambat klu kembalikan semula .. tq,sangat jelek banding kan awal dansinyal lambat klu kembali mula tq
rendiarachim,1,7/23/2024 7:17,Tolong di cek saya sudah updated berapa kali tapi selalu error' navigasi map sering hilang panah tidak bergerak semestinya saya sangat butuh dansering memakai maps tapi susah,negatif,cek updated berapa kali selalu error ' navigasi map sering hilang panah bergerak semestinya sangat butuh dansering memakai maps susah,cek updated berapa kali selalu error navigasi map sering hilang panah gerak mesti sangat butuh dansering pakai maps susah
Yanuar Teddy,5,7/23/2024 7:06,"Tolong dibantu map sy sering dak jalan, sy menjalankan gojek maxim, msp sering stop dak jalan , tolong d perbaiki map sy",negatif,"dibantu map sy sering dak jalan , sy menjalankan gojek maxim , msp sering stop dak jalan , d perbaiki map sy",bantu map sy sering dak jalan sy jalan gojek maxim msp sering stop dak jalan d baik map sy
Bejo Santoso,4,7/23/2024 6:12,Kenapa map sekarang kurang akurat sering selah dantidak tepat pada lokasi tujuan sampai titik yang tepat,negatif,map sekarang kurang akurat sering selah dantidak tepat lokasi tujuan titik tepat,map sekarang kurang akurat sering lah dantidak tepat lokasi tuju titik tepat
Muhammad Helmi,4,7/23/2024 4:41,Kenapa arah yang ditunjukkan Google Maps arahnya terbalik. Saya sudah instal ulang masih seperti itu ?,negatif,arah ditunjukkan Google Maps arahnya terbalik . instal ulang ?,arah tunjuk google maps arah balik instal ulang
Bang nest,4,7/23/2024 0:59,"Maaf untukdaerah karawang coba perbarui dong mapsnya, soalnya adajalan bisa masuk tapi di google maps keliatan tidak bisa padahal bisa jalan, terus kadang juga masuk ke gang juga begitu bisa masuk tapi sebenarnya tidak bisa buntu jalannya",negatif,"Maaf untukdaerah karawang coba perbarui dong mapsnya , soalnya adajalan masuk google maps keliatan padahal jalan , terus kadang masuk gang masuk sebenarnya buntu jalannya",maaf untukdaerah karawang coba baru dong mapsnya soal adajalan masuk google maps liat padahal jalan terus kadang masuk gang masuk benar buntu jalan
Ivano Axel,5,7/22/2024 20:37,"Kosannya keren, bangunan baru minimalis fasilitas lengkap, harga terjangkau lokasi strategis, yang punya nya orangnya baik bgt.. Bestiiku",negatif,"Kosannya keren , bangunan baru minimalis fasilitas lengkap , harga terjangkau lokasi strategis , punya nya orangnya baik bgt .. Bestiiku",kosannya keren bangun baru minimal fasilitas lengkap harga jangkau lokasi strategis punya nya orang baik bgt bestiiku
Hendy Nurzaeny,1,7/22/2024 19:57,"Lemot , sering d updet bkan tmbah bagus tapi malah ngaco. Tolong d perbaiki",positif,"Lemot , sering d updet bkan tmbah bagus malah ngaco . d perbaiki",lot sering d updet bkan tmbah bagus malah ngaco d baik
andreas kwik,5,7/22/2024 17:30,"awesome... semakin lengkap , lokasi danjalan terbaru pun sudah terupdated terimakasih developer aplikasi ini selalu update dansemakin disempurnakan , 1 lagi mungkinkah ditambahkan mode penelusuran atau pencarian dengan google foto untukmencari akurasi lokasi yang sudah pernah di upload oleh google guide lain nya , terimakasih",negatif,"awesome ... semakin lengkap , lokasi danjalan terbaru terupdated terimakasih developer aplikasi selalu update dansemakin disempurnakan , 1 mungkinkah ditambahkan mode penelusuran pencarian google foto untukmencari akurasi lokasi pernah upload google guide nya , terimakasih",awesome makin lengkap lokasi danjalan baru terupdated terimakasih developer aplikasi selalu update dansemakin sempurna 1 mungkin tambah mode telusur cari google foto untukmencari akurasi lokasi pernah upload google guide nya terimakasih
Hadi Hrmwn,1,7/22/2024 15:06,"Aduh google maps nya error terus nih, mohon di perbaiki lah",negatif,"Aduh google maps nya error terus nih , mohon perbaiki lah",aduh google maps nya error terus nih mohon baik lah
AGUS YUDIANTO,5,7/22/2024 12:45,Maps diaplikasi grabdriver bagus sekali danakurat.,positif,Maps diaplikasi grabdriver bagus sekali danakurat .,maps aplikasi grabdriver bagus sekali danakurat
Sandi Ar rahim,1,7/22/2024 12:14,Google maps nya ngaco suka sinyal GPS hilang terus padahal sinyal bagus sudahdi coba pengaturannya eh tetep sinyal GPS hilang haduh kacau tolong perbaiki,positif,Google maps nya ngaco suka sinyal GPS hilang terus padahal sinyal bagus sudahdi coba pengaturannya eh tetep sinyal GPS hilang haduh kacau perbaiki,google maps nya ngaco suka sinyal gps hilang terus padahal sinyal bagus sudahdi coba atur eh tetep sinyal gps hilang haduh kacau baik
Nuralim Smpt,5,7/22/2024 11:21,"""Yaa meskipun petanya kurang begitu akurat, tetapi dapat membantu sedikit dalam mencari sebuah Lokasi, Alamat, atau jalan di berbagai segala arah, tapi lumayan bagus sih. Semoga update kali ini & untukke depannya dapat menjadi lbh baik lagi. AmiinðŸ™ðŸ» trims untukadminnya.ðŸ™ðŸ»",positif,"`` Yaa meskipun petanya kurang akurat , membantu sedikit mencari sebuah Lokasi , Alamat , jalan berbagai segala arah , lumayan bagus sih . Semoga update kali & untukke depannya menjadi lbh baik . AmiinðŸ™ðŸ » trims untukadminnya.ðŸ™ðŸ »",yaa meski peta kurang akurat bantu sedikit cari buah lokasi alamat jalan bagai segala arah lumayan bagus sih moga update kali untukke depan jadi lbh baik amiin trims untukadminnya
Exgo Hernawan,1,7/22/2024 9:46,"Tolong lah map, jangan lewatin yang tidak masuk akal jalan pres mobil. tanya warga sekitar tidak adamobil pernah lewat",negatif,"lah map , jangan lewatin masuk akal jalan pres mobil . tanya warga adamobil pernah lewat",lah map jangan lewatin masuk akal jalan pres mobil tanya warga adamobil pernah lewat
Budi Setiawan,5,7/22/2024 6:25,"Google map mantap bisa membantu menemukan jalan dengan gampang danpitur nya juga gak ribet sekali klik langsung jadi,sukses terus pokonya",negatif,"Google map mantap membantu menemukan jalan gampang danpitur nya gak ribet sekali klik langsung jadi , sukses terus pokonya",google map mantap bantu temu jalan gampang danpitur nya gak ribet sekali klik langsung jadi sukses terus poko
Danang Ganteng,5,7/22/2024 2:31,"ngebantu banget asli,kemaren aku jadi bisa ke cafe tepat waktu gara-gara aplikasi google maps ini, pokoknya bagus banget ini aplikasi,makasih yaaa ðŸ¤ðŸ¤",positif,"ngebantu banget asli , kemaren aku jadi cafe tepat waktu gara-gara aplikasi google maps , pokoknya bagus banget aplikasi , makasih yaaa ðŸ¤ðŸ¤",ngebantu banget asli kemaren aku jadi cafe tepat waktu gara-gara aplikasi google maps pokok bagus banget aplikasi makasih yaaa
Rahmat Hidayatullah,3,7/21/2024 21:52,Nih ya untukdeveloper harus nya adapilihan untukmobil besar seperti truk tronton tlailer dantruk biasa jangan hanya untukmobil pribadi kadang sy sebagai driver truk pake di untukmuter2 sama map ini sering di arah kan ke gang2 kecil padahal sy bawa truk besar kadang2 bawaan nya pengen banting hp nya kalau di puter2 sama map ini mohon di perbaiki dandi pikirkan mksh,negatif,Nih untukdeveloper nya adapilihan untukmobil besar truk tronton tlailer dantruk biasa jangan untukmobil pribadi kadang sy driver truk pake untukmuter2 sama map sering arah kan gang2 kecil padahal sy bawa truk besar kadang2 bawaan nya pengen banting hp nya kalau puter2 sama map mohon perbaiki dandi pikirkan mksh,nih untukdeveloper nya adapilihan untukmobil besar truk tronton tlailer dantruk biasa jangan untukmobil pribadi kadang sy driver truk pake untukmuter2 sama map sering arah kan gang2 kecil padahal sy bawa truk besar kadang2 bawa nya ken banting hp nya kalau puter2 sama map mohon baik dandi pikir mksh
Ula Putra Jaya,3,7/21/2024 20:55,Tolong dong di bikin Maps khusus Jalur Truck yang di perbolehkan di Jalan Raya perkotaan biar tidak salah Jalur Larangan.,negatif,dong bikin Maps khusus Jalur Truck perbolehkan Jalan Raya perkotaan biar salah Jalur Larangan .,dong bikin maps khusus jalur truck boleh jalan raya kota biar salah jalur larang
Ravindra Mobile,1,7/21/2024 11:12,"Aplikasi lama2 kaya ampas,di pake mandek gak jalan,jalur tiba2 ilang,gps gak konek,parah!!!",negatif,"Aplikasi lama2 kaya ampas , pake mandek gak jalan , jalur tiba2 ilang , gps gak konek , parah ! ! !",aplikasi lama2 kaya ampas pake mandek gak jalan jalur tiba2 ilang gps gak konek parah
amelia hardata,1,7/21/2024 9:15,kasih bintang 1 aja. semakin lama google untukandroid tidak stabil. titik map/gps selalu berubah ubah atau berpindah posisi. selalu lari kesana kemari tidak menempati titik sesuai dimana hp di letakkan. semakin hari semakin nggak jelas. di komplen tapi tidak adapembenahan. merusal gps hp saja google map,negatif,kasih bintang 1 aja . semakin lama google untukandroid stabil . titik map/gps selalu berubah ubah berpindah posisi . selalu lari kesana kemari menempati titik sesuai hp letakkan . semakin hari semakin jelas . komplen adapembenahan . merusal gps hp google map,kasih bintang 1 aja makin lama google untukandroid stabil titik map gps selalu ubah ubah pindah posisi selalu lari kesana kemari tempat titik sesuai hp letak makin hari makin jelas komplen adapembenahan merusal gps hp google map
Ary Andipramuja,5,7/21/2024 8:20,Kurang akurat saat aku perbarui...  Tadi saja masuk ke jurang di tretes sedalam 50 M saat mau ke blitar...  Tanggung jawab dong.... Gimana nih... Kalo untukpembaruan itu yang akurat dong jangan meleset... I not like maps version new... Bikin kesal aja..  Tanggung jawab loh.. Mana saya ampe masuk jurang.... Klo tidak pakai kartu bpjs mungkin aku sudahmati...  Dasar app pekok,negatif,Kurang akurat aku perbarui ... Tadi masuk jurang tretes sedalam 50 M mau blitar ... Tanggung jawab dong .... Gimana nih ... Kalo untukpembaruan akurat dong jangan meleset ... I not like maps version new ... Bikin kesal aja .. Tanggung jawab loh .. Mana ampe masuk jurang .... Klo pakai kartu bpjs mungkin aku sudahmati ... Dasar app pekok,kurang akurat aku baru tadi masuk jurang tretes dalam 50 m mau blitar tanggung jawab dong gimana nih kalo untukpembaruan akurat dong jangan meleset i not like maps version new bikin kesal aja tanggung jawab loh mana ampe masuk jurang klo pakai kartu bpjs mungkin aku sudahmati dasar app kok
Candu Sunyi,1,7/21/2024 7:32,"Banyak bug, liminasi terkadang tidak ada, mode / jalur untuksepeda motor juga tidak ada, menyusahkan danbikin tidak aman, merugikan banyak orang",negatif,"Banyak bug , liminasi terkadang , mode / jalur untuksepeda motor , menyusahkan danbikin aman , merugikan banyak orang",banyak bug liminasi terkadang mode jalur untuksepeda motor susah danbikin aman rugi banyak orang
Firliamaita Sari,3,7/21/2024 6:36,"Bagus sih ini aplikasi nya tapi terkadang dibuat muterÂ² juga kalau yang gak tau sama sekali alamat nya. Jadi sekiranya untukjln jarak jauh,gak disaranin langsung pake aplikasi ini karrna bukannya mudah malah semakin muterÂ² diabuatnyaðŸ¤¦",negatif,"Bagus sih aplikasi nya terkadang dibuat muterÂ² kalau gak tau sama sekali alamat nya . Jadi sekiranya untukjln jarak jauh , gak disaranin langsung pake aplikasi karrna bukannya mudah malah semakin muterÂ² diabuatnyaðŸ¤¦",bagus sih aplikasi nya terkadang buat muter kalau gak tau sama sekali alamat nya jadi sekira untukjln jarak jauh gak disaranin langsung pake aplikasi karrna bukan mudah malah makin muter diabuatnya
Jhon Padli,5,7/21/2024 1:04,"Sangat amat membantu dalam perjalan saya, terimakasih, gmaps.",negatif,"Sangat membantu perjalan , terimakasih , gmaps .",sangat bantu jalan terimakasih gmaps
BPKPJAYA Love,1,7/21/2024 0:34,Titik koordinat tidak akurat serta untukpemetaan jalur transportasi umum jabodetabek sudah gak relevan lagi danfitur Google maps gak adafitur gerakan baru,negatif,Titik koordinat akurat untukpemetaan jalur transportasi umum jabodetabek gak relevan danfitur Google maps gak adafitur gerakan baru,titik koordinat akurat untukpemetaan jalur transportasi umum jabodetabek gak relevan danfitur google maps gak adafitur gera baru
Moh Busri,5,7/20/2024 21:20,"Petunjuk dalam segala arah,dengan adanya aplikasi ini mudah untukmencari lokasi kemana yang kita tuju......",negatif,"Petunjuk segala arah , adanya aplikasi mudah untukmencari lokasi tuju ......",tunjuk segala arah ada aplikasi mudah untukmencari lokasi tuju
Surono,1,7/20/2024 19:23,"Google maps banyak error ,ngacau tolong dibetulin ,banyak orang nyasar ,gara gara google maps tidak akurat",negatif,"Google maps banyak error , ngacau dibetulin , banyak orang nyasar , gara gara google maps akurat",google maps banyak error ngacau dibetulin banyak orang nyasar gara gara google maps akurat
Asti Pravitasari,5,7/20/2024 19:04,"Dua kali ke Gondangrejo dituntun Google Maps. Yang pertama hampir nggak sampai. Tapi yang kedua kali, puji Tuhan sampai di tujuan dengan selamat. Terima kasih Google Maps. ðŸ™ðŸ˜Š",negatif,"kali Gondangrejo dituntun Google Maps . pertama hampir . kedua kali , puji Tuhan tujuan selamat . Terima kasih Google Maps . ðŸ™ðŸ˜Š",kali gondangrejo tuntun google maps pertama hampir dua kali puji tuhan tuju selamat terima kasih google maps
Chindy Lusfania Anggraini Putri (Chindy),5,7/20/2024 18:43,"Baguss sihhh aplikasinya...bisa membuat kita tau jalann,bisa bagi lokasi danmembuat kemudahan untukmenemukan lokasiii...makasihh yaa untukyang bikin aplikasinya ðŸ«¶",negatif,"Baguss sihhh aplikasinya ... membuat tau jalann , lokasi danmembuat kemudahan untukmenemukan lokasiii ... makasihh yaa untukyang bikin aplikasinya ðŸ « ¶",baguss sihhh aplikasi buat tau jalann lokasi danmembuat mudah untukmenemukan lokasiii makasihh yaa untukyang bikin aplikasi
Jul Haidir,1,7/20/2024 16:27,"sialan semakin di update semakin eror ðŸ‘Žngetik lokasi yang muncul malah pratinjau kalau diulang ngetik alamat yang dicari mengapa malah dikasih alamat luar area dankota,,, masa sih google maps gak tau lokasi penggunanya",negatif,"sialan semakin update semakin eror ðŸ ‘ Žngetik lokasi muncul malah pratinjau kalau diulang ngetik alamat dicari malah dikasih alamat luar area dankota , , , masa sih google maps gak tau lokasi penggunanya",sial makin update makin eror ngetik lokasi muncul malah pratinjau kalau ulang ngetik alamat cari malah kasih alamat luar area dankota masa sih google maps gak tau lokasi guna
Oke Ok bos,5,7/20/2024 13:51,Sangat mantab 3D nya danbisa lihat dua peta danvidio kemana kita menghadapðŸ‘ðŸ‘ðŸ˜ŠðŸ‘ðŸ˜ŠðŸ‘ðŸ‘ðŸ˜Šharapan saya smoga maps ini bisa bersatu dengan perangkat lacak lokasi nomer whatsap dannomer biasa ðŸ˜ŠðŸ˜ŠðŸ˜ŠðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ™ðŸ™ðŸ™ðŸ™ðŸ™ðŸ™kepada badan pemrogram kenapa map tidak bisa lihat bulatnya bumi seperti aplikasi earth google ðŸ™‚ðŸ™‚ðŸ™‚itu penting juga agar tahu semua orang bahwa bumi jagat raya ini bulat ðŸ¤”ðŸ¤”ðŸ¤”ðŸ¤”yang pasti map adalah gambaran sebagian bumi yang nyata kita tinggaliðŸ™ðŸ»ðŸ™ðŸ»ðŸ™ðŸ»ðŸ™ðŸ»ðŸ™‚ðŸ™‚ðŸ™‚ðŸ™‚ðŸ™‚ðŸ‘ðŸ»ðŸ‘ðŸ»ðŸ‘,negatif,Sangat mantab 3D nya danbisa lihat peta danvidio menghadapðŸ ‘ ðŸ ‘ ðŸ˜ŠðŸ ‘ ðŸ˜ŠðŸ ‘ ðŸ ‘ ðŸ˜Šharapan smoga maps bersatu perangkat lacak lokasi nomer whatsap dannomer biasa ðŸ˜ŠðŸ˜ŠðŸ˜ŠðŸ ‘ ðŸ ‘ ðŸ ‘ ðŸ ‘ ðŸ™ðŸ™ðŸ™ðŸ™ðŸ™ðŸ™kepada badan pemrogram map lihat bulatnya bumi aplikasi earth google ðŸ™‚ðŸ™‚ðŸ™‚itu penting tahu semua orang bumi jagat raya bulat ðŸ¤ ” ðŸ¤ ” ðŸ¤ ” ðŸ¤ ” map gambaran sebagian bumi nyata tinggaliðŸ™ðŸ » ðŸ™ðŸ » ðŸ™ðŸ » ðŸ™ðŸ » ðŸ™‚ðŸ™‚ðŸ™‚ðŸ™‚ðŸ™‚ðŸ ‘ ðŸ » ðŸ ‘ ðŸ » ðŸ ‘ ,sangat mantab 3d nya danbisa lihat peta danvidio hadap harap smoga maps satu perangkat lacak lokasi nomer whatsap dannomer biasa kepada badan pemrogram map lihat bulat bumi aplikasi earth google itu penting tahu semua orang bumi jagat raya bulat map gambar bagi bumi nyata tinggal
wahyudi setiyawan,5,7/20/2024 13:34,Sangat membantu tapi mohon di abdet untukjalan jalan baru daerah pedalaman atau kalau tidak beri pengguna untukmenambahkan foto lokasi baru,negatif,Sangat membantu mohon abdet untukjalan jalan baru daerah pedalaman kalau beri pengguna untukmenambahkan foto lokasi baru,sangat bantu mohon abdet untukjalan jalan baru daerah dalam kalau beri guna untukmenambahkan foto lokasi baru
Rahmat Hidayat,3,7/20/2024 11:59,"Saran saya tambah jalur untuktruck / kendaraan besar lainnya.. jalur map kereta dihapus karena kita tidak mungkin punya kereta pribadi, kalaupun adakan sudah adarelnya jadi tidak mungkin nyasar.. Terimakasih",negatif,"Saran tambah jalur untuktruck / kendaraan besar lainnya .. jalur map kereta dihapus mungkin punya kereta pribadi , kalaupun adakan adarelnya jadi mungkin nyasar .. Terimakasih",saran tambah jalur untuktruck kendara besar lain jalur map kereta hapus mungkin punya kereta pribadi kalaupun adakan adarelnya jadi mungkin nyasar terimakasih
Forimas Fanggidae,5,7/20/2024 6:03,Sangat membantu dalam perjalanan karena dapat menampilkan rute terdekat dalam perjalanan ke suatu tempat..,negatif,Sangat membantu perjalanan menampilkan rute terdekat perjalanan suatu tempat ..,sangat bantu jalan tampil rute dekat jalan suatu tempat
Bang Iwan,5,7/19/2024 8:23,"Sangat membantu para driver ojol danKurir expedisi,semoga ditingkatkan lagi untukmenemukan Rumah mantan yang telah lama hilang ðŸ¥±ðŸ˜­",negatif,"Sangat membantu driver ojol danKurir expedisi , semoga ditingkatkan untukmenemukan Rumah mantan lama hilang ðŸ¥±ðŸ˜­",sangat bantu driver ojol dankurir expedisi moga tingkat untukmenemukan rumah mantan lama hilang
Henri Agusfarli,2,7/19/2024 7:39,"Utk kawasan gage di jakarta/weekend di kota wisata sperti puncak, saat menentukan arah tujuan tolong ditambahkan warna baru (mgkn warna putih bold/hitam bold sebagai border/list sisi kanan kiri sebagai pendamping waran line trip utama yang akan dituju (biru saat lancar, orange saat merayap, merah saat macet), mulai msk kawasan s/d akhir kawasan gage agar pengguna tau dgn detail kawasan gage & alternatif rute tetap di tampilkan",negatif,"Utk kawasan gage jakarta/weekend kota wisata sperti puncak , menentukan arah tujuan ditambahkan warna baru ( mgkn warna putih bold/hitam bold border/list sisi kanan kiri pendamping waran line trip utama dituju ( biru lancar , orange merayap , merah macet ) , mulai msk kawasan s/d akhir kawasan gage pengguna tau dgn detail kawasan gage & alternatif rute tetap tampilkan",utk kawasan gage jakarta weekend kota wisata sperti puncak tentu arah tuju tambah warna baru mgkn warna putih bold hitam bold border list sisi kanan kiri damping waran line trip utama tuju biru lancar orange rayap merah macet mulai msk kawasan s d akhir kawasan gage guna tau dgn detail kawasan gage alternatif rute tetap tampil
Aji Kurniawan,1,7/18/2024 20:58,kompas selalu akurasi rendah dandi kalibrasi sulit,negatif,kompas selalu akurasi rendah dandi kalibrasi sulit,kompas selalu akurasi rendah dandi kalibrasi sulit
Diyu Jaseng,1,7/18/2024 20:33,"Makin lama mengapa maps nya lemot , padahal paketan masih banyak , tolong dong pihak google nya danjalur- jalur nya kurang jelas",negatif,"Makin lama maps nya lemot , padahal paketan banyak , dong pihak google nya danjalur- jalur nya kurang jelas",makin lama maps nya lot padahal paket banyak dong pihak google nya danjalur- jalur nya kurang jelas
